category,timestamp,avg_pnl,win_rate,total_trades,wins,losses,long_hybrid,long_exec,long_vwap,short_hybrid,short_exec,short_vwap,stop_r,target_r,trail_1r,trail_2r,trail_activation_r,trailing_distance
With Trailing,2026-03-08 05:24:07,0.2481,37.11,353,131,222,55,20,-1.0,45,20,2.0,2.5,5.0,True,False,2.0,1.5
With Trailing,2026-03-08 06:05:27,0.2201,33.85,387,131,256,60,20,-1.5,40,25,1.5,2.0,5.0,True,False,2.0,1.0
With Trailing,2026-03-08 04:04:44,0.1984,31.94,360,115,245,60,30,-2.0,40,15,1.0,2.0,5.0,True,False,2.0,2.0
With Trailing,2026-03-08 04:39:53,0.1965,36.16,224,81,143,75,30,-1.5,25,20,1.0,2.5,5.0,True,False,2.0,1.5
With Trailing,2026-03-08 07:39:18,0.1872,33.14,350,116,234,65,20,-1.0,35,25,1.5,2.5,5.0,True,False,1.5,1.5
Without Trailing,2026-03-08 02:37:09,0.3008,45.3,287,130,157,60,50,-1.0,40,30,1.0,2.5,5.0,False,False,1.5,2.0
Without Trailing,2026-03-08 05:12:44,0.2893,45.21,292,132,160,55,40,-1.0,45,20,1.0,2.5,5.0,False,False,0.5,1.0
Without Trailing,2026-03-08 04:37:49,0.281,44.71,293,131,162,55,20,-1.0,45,15,1.5,2.5,5.0,False,False,2.0,2.0
Without Trailing,2026-03-08 04:27:21,0.2801,44.7,302,135,167,55,20,-1.0,45,30,1.5,2.5,5.0,False,False,0.5,1.5
Without Trailing,2026-03-08 05:34:33,0.2712,44.94,267,120,147,65,20,-1.0,35,30,1.5,2.5,5.0,False,False,0.5,1.5
